  #time[fs]  state    s-pop           Ecorr           Etot
      2.780   1     1.000000000    22.994692457   534.973301461
      2.785   1     1.000000000    23.331318142   535.184534634
      2.790   1     1.000000000    23.658460155   535.401643879
      2.795   1     1.000000000    23.938959385   535.624771132
      2.800   1     1.000000000    24.163740214   535.853818711
      2.805   1     1.000000000    24.325989073   536.088415661
      2.810   1     1.000000000    24.359359396   536.327890077
      2.815   1     1.000000000    24.178823666   536.571265555
      2.820   1     1.000000000    23.793530169   536.817298596
      2.825   1     1.000000000    23.350497911   537.064558072
      2.830   1     1.000000000    23.042917553   537.311530573
      2.835   1     1.000000000    22.968530184   537.556730285
      2.840   1     1.000000000    23.085762495   537.798798360
      2.845   1     1.000000000    23.284578636   538.036584202
      2.850   1     1.000000000    23.471039665   538.269203460
      2.855   1     1.000000000    23.594546452   538.496067794
      2.860   1     1.000000000    23.631729088   538.716883873
      2.865   1     1.000000000    23.581678899   538.931623506
      2.870   1     1.000000000    23.476001959   539.140471810
      2.875   1     1.000000000    23.364476509   539.343764571
      2.880   1     1.000000000    23.264687035   539.541927874
      2.885   1     1.000000000    23.126722768   539.735432206
      2.890   1     1.000000000    22.877122136   539.924770333
      2.895   1     1.000000000    22.495746292   540.110462497
      2.900   1     1.000000000    22.039926494   540.293083079
      2.905   1     1.000000000    21.604825135   540.473295231
      2.910   1     1.000000000    21.264014846   540.651878200
      2.915   1     1.000000000    21.045283416   540.829735407
      2.920   1     1.000000000    20.956834067   541.007876952
      2.925   1     1.000000000    21.020949686   541.187375731
      2.930   1     1.000000000    21.266050491   541.369301389
      2.935   1     1.000000000    21.682314223   541.554641563
      2.940   1     1.000000000    22.200574699   541.744224438
      2.945   1     1.000000000    22.729813452   541.938658251
      2.950   1     1.000000000    23.216329284   542.138299576
      2.955   1     1.000000000    23.669000044   542.343253997
      2.960   1     1.000000000    24.124401412   542.553403101
      2.965   1     1.000000000    24.574107594   542.768444280
      2.970   1     1.000000000    24.939579228   542.987928875
      2.975   1     1.000000000    25.133113731   543.211289688
      2.980   1     1.000000000    25.110553634   543.437854835
      2.985   1     1.000000000    24.857437062   543.666849153
      2.990   1     1.000000000    24.385404895   543.897390031
      2.995   1     1.000000000    23.786407302   544.128489343
      3.000   1     1.000000000    23.250479306   544.359071228
      3.005   1     1.000000000    22.954858307   544.588007880
      3.010   1     1.000000000    22.929247778   544.814169926
      3.015   1     1.000000000    23.055355262   545.036488333
      3.020   1     1.000000000    23.184191927   545.254025092
      3.025   1     1.000000000    23.246321763   545.466044313
      3.030   1     1.000000000    23.265392375   545.672068146
      3.035   1     1.000000000    23.283704246   545.871902034
      3.040   1     1.000000000    23.299022444   546.065623973
      3.045   1     1.000000000    23.282288555   546.253546301
      3.050   1     1.000000000    23.224463983   546.436165511
      3.055   1     1.000000000    23.125042046   546.614113068
      3.060   1     1.000000000    22.948747457   546.788115020
      3.065   1     1.000000000    22.655001102   546.958965546
      3.070   1     1.000000000    22.269072488   547.127515824
      3.075   1     1.000000000    21.888631341   547.294673057
      3.080   1     1.000000000    21.619191324   547.461400786
      3.085   1     1.000000000    21.507065702   547.628712290
      3.090   1     1.000000000    21.529379434   547.797650750
      3.095   1     1.000000000    21.641910685   547.969251724
      3.100   1     1.000000000    21.830866755   548.144486499
      3.105   1     1.000000000    22.111836670   548.324190640
      3.110   1     1.000000000    22.483938132   548.508988954
      3.115   1     1.000000000    22.903767725   548.699232526
      3.120   1     1.000000000    23.316664787   548.894963126
      3.125   1     1.000000000    23.706846304   549.095914634
      3.130   1     1.000000000    24.103072638   549.301552291
      3.135   1     1.000000000    24.521925270   549.511141431
      3.140   1     1.000000000    24.915311548   549.723831302
      3.145   1     1.000000000    25.189800595   549.938737881
      3.150   1     1.000000000    25.260854905   550.155010100
      3.155   1     1.000000000    25.103390692   550.371866912
      3.160   1     1.000000000    24.773207859   550.588599737
      3.165   1     1.000000000    24.370418236   550.804544457
      3.170   1     1.000000000    23.994099584   551.019036930
      3.175   1     1.000000000    23.719262505   551.231372762
      3.180   1     1.000000000    23.566307467   551.440791177
      3.185   1     1.000000000    23.473328300   551.646494741
      3.190   1     1.000000000    23.331047220   551.847705883
      3.195   1     1.000000000    23.094204598   552.043750095
