  #time[fs]  state    s-pop           Ecorr           Etot
      0.505   1     1.000000000    15.803545401   323.562706834
      0.510   1     1.000000000    15.767514385   324.694653001
      0.515   1     1.000000000    15.743379472   325.826425605
      0.520   1     1.000000000    15.732676842   326.959939290
      0.525   1     1.000000000    15.735553538   328.096863852
      0.530   1     1.000000000    15.750892764   329.238597980
      0.535   1     1.000000000    15.776597914   330.386247949
      0.540   1     1.000000000    15.810053665   331.540612063
      0.545   1     1.000000000    15.848772979   332.702171483
      0.550   1     1.000000000    15.891184797   333.871087850
      0.555   1     1.000000000    15.937402935   335.047207820
      0.560   1     1.000000000    15.989679852   336.230074341
      0.565   1     1.000000000    16.052206866   337.418944145
      0.570   1     1.000000000    16.130093444   338.612810732
      0.575   1     1.000000000    16.227724247   339.810431882
      0.580   1     1.000000000    16.347042567   341.010360712
      0.585   1     1.000000000    16.486402962   342.210979270
      0.590   1     1.000000000    16.640411032   343.410533691
      0.595   1     1.000000000    16.800775949   344.607169967
      0.600   1     1.000000000    16.957857406   345.798969411
      0.605   1     1.000000000    17.102425785   346.983982912
      0.610   1     1.000000000    17.227165105   348.160263174
      0.615   1     1.000000000    17.327569095   349.325894268
      0.620   1     1.000000000    17.402097963   350.479018074
      0.625   1     1.000000000    17.451703771   351.617857445
      0.630   1     1.000000000    17.478966586   352.740736262
